CHEMBLID,smiles,ido_ic50,tdo_ic50
CHEMBL3545369,NS(=O)(=O)NCCNc1nonc1/C(=N/O)Nc1ccc(F)c(Br)c1,8.0,4.805430160771357
CHEMBL355606,Fc1ccc2c(/C=C/c3cccnc3)c[nH]c2c1,3.4559319556497243,6.958607314841775
CHEMBL3612772,CN(C)CCNC(=O)c1c2c(n3ccccc13)C(=O)c1ncccc1C2=O,6.896196279044043,5.474955192963154
CHEMBL3628551,O=C1c2ccccc2C(=O)c2c1nnn2Cc1cccc(Cl)c1,6.115204636051019,6.148130399270234
CHEMBL3628552,O=C1c2ccccc2C(=O)c2c1nnn2Cc1ccc(F)cc1,5.587203571283457,5.131943638176958
CHEMBL3628553,Cc1ccc(Cn2nnc3c2C(=O)c2ccccc2C3=O)cc1,5.752026733638194,5.963371104637839
CHEMBL3628554,O=C1c2ccccc2C(=O)c2c1nnn2Cc1cccc(Br)c1,5.499900808084277,6.114638779968488
CHEMBL3628555,O=C1c2ccccc2C(=O)c2c1nnn2Cc1ccc(Br)cc1,5.0,5.799696817018415
CHEMBL3628556,O=C1c2ccccc2C(=O)c2c1nnn2Cc1ccc(Cl)cc1,5.0,5.189767482004916
CHEMBL3628593,O=C(O)c1cccc(Cn2nnc3c2C(=O)c2ccccc2C3=O)c1,5.905878404159439,6.777283528852417
CHEMBL3628594,O=C(O)c1ccc(Cn2nnc3c2C(=O)c2ccccc2C3=O)cc1,5.633950790199765,6.505845405981557
CHEMBL3628595,CCN(CC)C(=O)c1cccc(Cn2nnc3c2C(=O)c2ccccc2C3=O)c1,6.0101054362812265,7.045757490560675
CHEMBL3628596,CCN(CC)C(=O)c1ccc(Cn2nnc3c2C(=O)c2ccccc2C3=O)cc1,5.714892970433188,6.7423214251308154
CHEMBL3628597,CC(=O)N1CCN(C(=O)c2cccc(Cn3nnc4c3C(=O)c3ccccc3C4=O)c2)CC1,6.220403508742176,7.229147988357855
CHEMBL3628598,O=C1c2ccccc2C(=O)c2c1nnn2Cc1cccc(C(=O)N2CCOCC2)c1,6.028724151261895,7.318758762624412
CHEMBL3628599,CN1CCN(C(=O)c2cccc(Cn3nnc4c3C(=O)c3ccccc3C4=O)c2)CC1,6.1938200260161125,7.522878745280337
CHEMBL3628600,CC(=O)N1CCN(C(=O)c2ccc(Cn3nnc4c3C(=O)c3ccccc3C4=O)cc2)CC1,5.959793372425289,6.7544873321858505
CHEMBL3628601,O=C1c2ccccc2C(=O)c2c1nnn2Cc1ccc(C(=O)N2CCOCC2)cc1,6.00788851221305,6.935542010773082
CHEMBL3628602,CN1CCN(C(=O)c2ccc(Cn3nnc4c3C(=O)c3ccccc3C4=O)cc2)CC1,5.684239509334265,6.966576244513051
CHEMBL3628603,COC1CCN(C(=O)c2ccc(Cn3nnc4c3C(=O)c3ccccc3C4=O)cc2)CC1,5.797784224198868,6.679853713888946
CHEMBL3628604,CCN(CC)C(=O)Cc1ccc(Cn2nnc3c2C(=O)c2ccccc2C3=O)cc1,6.035363296211498,6.838631997765025
CHEMBL3629569,OC(CC1c2ccccc2-c2cncn21)C1CCCCC1,6.0,6.0
CHEMBL3629570,O=C(CC1c2ccccc2-c2cncn21)C1CCCCC1,6.0,6.0
CHEMBL372363,COc1ccccc1-c1c[nH]nn1,4.0,4.0
